#{"t_start": 1730541411.1325488, "env_id": "None"}
r,l,t
-6197.0,11373,2825.072673
-4642.0,9526,2828.523428
-4809.0,9816,2832.22192
-8839.0,17942,2838.815344
-7136.0,13308,2844.301206
-7491.0,15151,2854.330169
-7798.0,15784,2859.709406
-6534.0,12791,2864.443454
-6090.0,12378,2869.577499
-6763.0,13724,2874.772861
-12950.0,26066,2890.697264
-3080.0,6314,2892.769415
-13982.0,28228,2903.417392
-15673.0,31610,2915.200675
-4245.0,8754,2918.073
-11112.0,22317,2928.271476
-8782.0,17578,2934.63069
-10254.0,20772,2942.391192
-3093.0,6450,2944.881159
-6925.0,13424,2949.682866
