participant_id,game_id,player_id,num_player_game,action_stats,turn_order,reward_action_agent,reward_rectified,nb_moves,is_winner,nb_actions_interdites,nb_pawns_in_goal
388,194,2,2,388,2,140,171,26,True,2,1
389,195,1,1,389,1,-30,0,23,True,3,1
390,195,2,2,390,2,95,142,22,False,3,0
391,196,1,1,391,1,-10,0,22,True,1,1
392,196,2,2,392,2,140,140,21,False,0,0
393,197,1,1,393,1,-100,0,32,True,10,1
394,197,2,2,394,2,175,215,31,False,1,0
395,198,1,1,395,1,-10,0,18,True,1,1
396,198,2,2,396,2,95,95,17,False,0,0
397,199,1,1,397,1,-30,0,37,True,3,1
398,199,2,2,398,2,215,255,36,False,1,0
399,200,1,1,399,1,-20,0,19,True,2,1
400,200,2,2,400,2,85,100,18,False,1,0
401,201,1,1,401,1,0,0,19,False,0,0
402,201,3,2,402,2,0,0,19,True,0,1
403,202,1,1,403,1,0,0,16,True,0,1
404,202,3,2,404,2,0,0,15,False,0,0
405,203,1,1,405,1,-10,0,24,True,1,1
406,203,3,2,406,2,0,0,23,False,0,0
407,204,1,1,407,1,0,0,19,True,0,1
408,204,3,2,408,2,0,0,18,False,0,0
409,205,1,1,409,1,-10,0,19,False,1,0
410,205,3,2,410,2,0,0,19,True,0,1
411,206,1,1,411,1,0,0,24,True,0,1
412,206,3,2,412,2,0,0,23,False,0,0
413,207,1,1,413,1,0,0,19,True,0,1
414,207,3,2,414,2,0,0,18,False,0,0
415,208,1,1,415,1,0,0,23,False,0,0
416,208,3,2,416,2,0,0,23,True,0,1
417,209,1,1,417,1,-10,0,19,True,1,1
418,209,3,2,418,2,-20,0,18,False,2,0
419,210,1,1,419,1,0,0,23,False,0,0
420,210,3,2,420,2,0,0,23,True,0,1
421,211,1,1,421,1,0,0,21,False,0,0
422,211,3,2,422,2,-20,0,21,True,2,1
423,212,1,1,423,1,0,0,26,False,0,0
424,212,3,2,424,2,0,0,26,True,0,1
425,213,1,1,425,1,0,0,17,False,0,0
426,213,3,2,426,2,0,0,17,True,0,1
427,214,1,1,427,1,0,0,19,False,0,0
428,214,3,2,428,2,0,0,19,True,0,1
429,215,1,1,429,1,0,0,18,False,0,0
